event_id,user_id,event_type,timestamp,amount,session_id,device_type,location_city,user_tenure_days,user_segment
18c84fed-8cee-4d7b-a95c-9b94886be45b,USR00339,app_open,2024-01-01 05:40:58,,111b2375,android,Port Harcourt,190,power
7161298c-8bf2-4a25-9160-9834a12183c5,USR00339,login,2024-01-01 05:41:04,,111b2375,android,Port Harcourt,190,power
e40835c3-d03a-4bae-aabf-e34e00bf1e6a,USR00339,deposit_money,2024-01-01 05:41:08,231685.7,111b2375,android,Port Harcourt,190,power
d105dc25-f25e-403e-b55c-c05cb12f7f49,USR00339,check_balance,2024-01-01 05:41:52,,111b2375,android,Port Harcourt,190,power
39cf8b22-e7f7-41ae-b8e7-a74c79db9a7c,USR00339,view_dashboard,2024-01-01 05:42:26,,111b2375,android,Port Harcourt,190,power
d4829795-8416-4952-a9ea-2ee27742af10,USR00005,app_open,2024-01-01 06:05:59,,26604a90,android,Kano,227,power
5e538177-ab31-4de9-af9a-178fe569189b,USR00005,login,2024-01-01 06:06:03,,26604a90,android,Kano,227,power
1c73b2a2-be22-4a3a-8a44-81815ee08a38,USR00005,withdraw_money,2024-01-01 06:06:05,173520.87,26604a90,android,Kano,227,power
9f60332d-2d3a-45c0-8268-612cf37812a3,USR00005,check_balance,2024-01-01 06:06:34,,26604a90,android,Kano,227,power
6b643780-5890-40d3-b4cb-f65b7577ed94,USR00005,view_dashboard,2024-01-01 06:08:05,,26604a90,android,Kano,227,power
ca0d1047-7ce6-4a8b-bfe3-be011aebbe32,USR00005,view_dashboard,2024-01-01 06:08:38,,26604a90,android,Kano,227,power
38bb1618-2ca9-40b2-874e-ebced36eb9c9,USR00005,logout,2024-01-01 06:09:16,,26604a90,android,Kano,227,power
f4bc0602-bae0-400f-b0a0-4565a953f5b7,USR00568,app_open,2024-01-01 06:44:48,,acd6cee7,ios,Abuja,22,regular
f839bcc0-80ce-4977-8151-a150f59ecb04,USR00568,login,2024-01-01 06:44:53,,acd6cee7,ios,Abuja,22,regular
6dec2ee0-4944-45a1-bd07-8bee9ff9b8de,USR00568,view_dashboard,2024-01-01 06:44:59,,acd6cee7,ios,Abuja,22,regular
ec545733-fb8e-4a6f-b76f-b1a630725ac9,USR00568,withdraw_money,2024-01-01 06:45:58,32386.77,acd6cee7,ios,Abuja,22,regular
05a861f9-0dc1-4e1b-b32c-46ebdc58fc5a,USR00568,logout,2024-01-01 06:47:26,,acd6cee7,ios,Abuja,22,regular
5d8b0728-cd3f-4aaf-a3eb-57eb036e85b9,USR00316,app_open,2024-01-01 07:19:41,,83708745,android,Lagos,346,regular
ff3b6069-2a40-44d5-8f08-e3d0f0f8759a,USR00316,login,2024-01-01 07:19:51,,83708745,android,Lagos,346,regular
36786854-ceb7-4246-905e-44bb30eb8cf8,USR00316,check_balance,2024-01-01 07:19:55,,83708745,android,Lagos,346,regular
fdadd3a1-9e1f-4cad-8c84-49416399a567,USR00212,app_open,2024-01-01 07:21:16,,077a4259,ios,Abuja,277,power
5e49f805-4b68-4f3c-bd63-50943a86f083,USR00212,login,2024-01-01 07:21:19,,077a4259,ios,Abuja,277,power
d68e7e60-1faf-465b-aeb6-55e65d16466f,USR00212,withdraw_money,2024-01-01 07:21:25,186838.99,077a4259,ios,Abuja,277,power
